acad_org,catalog_nbr,class_nbr,subject,subject_descr,descr,units,acad_career_descr,description
CHE,4476,15176,CHE,Chemical Engineering,Chemical Engineering Design,3,Undergraduate,"Application of academically acquired skills to the practice of chemical engineering in an industrial environment: industrial economics; process synthesis and selection; flow sheet development; equipment sizing; plant layout and cost estimation. Report preparation and oral presentations. Use of commercial process simulation software. Two lecture hours, two discussion hours, and design laboratory. Prerequisite: CHE 2216, 3318, 3322, and 4438."
CHE,4561,20228,CHE,Chemical Engineering,Special Topics in Chemical Engineering,3,Undergraduate,"Applies engineering science, design methods, and system analysis to developing areas and current problems in chemical engineering. Topics are announced at registration. Prerequisite:Third or Fourth-year standing and instructor permission."
CHE,4995,15676,CHE,Chemical Engineering,Chemical Engineering Research,1 - 3,Undergraduate,"Library and laboratory study of an engineering or manufacturing problem conducted in close consultation with a departmental faculty member, often including the design, construction, and operation of laboratory scale equipment. Requires progress reports and a comprehensive written report. Prerequisite: Instructor permission."
CHE,5456,16160,CHE,Chemical Engineering,Bioproduct & Bioprocess Eng,3,Graduate,"The course focuses on engineering's role in commercialization of vaccines and biologics. Biologics are more complex than small molecule drug products and present unique challenges in commercialization. This course includes an overview of vaccines and biologics from historical context, product, process and analytical technologies, immunology, clinical, regulatory and ethical considerations, economics, risk mitigation, and impact on human health. Prerequisites: 4th year or higher CHE or BME standing or Instructor Permission"
CHE,5562,16036,CHE,Chemical Engineering,Special Topics in Chemical Engineering,3,Graduate,"Applies engineering science, design methods, and system analysis to developing areas and current problems in chemical engineering. Topics are announced at registration."
CHE,6442,16015,CHE,Chemical Engineering,Applied Surface Chemistry,3,Graduate,"Factors underlying interfacial phenomena, with emphasis on thermodynamics of surfaces, structural aspects, and electrical phenomena; applications such as emulsification, foaming, detergency, sedimentation, flow through porous media, fluidization, nucleation, wetting, adhesion, flotation, electrocapillarity. Prerequisite: Instructor permission."
CHE,6445,21067,CHE,Chemical Engineering,Fundamentals of Process Safety,3,Graduate,"This course will cover the fundamentals of Process Safety. We will apply chemical engineering fundamentals to identify various hazards within chemical processes and will assess the risks associated with these hazards. This course will also cover the process design approaches and other commonly adopted industry practices used to mitigate, control and/or manage risks associated with chemical processes. Prerequisites: Chemical Engineering graduate student"
CHE,6447,15585,CHE,Chemical Engineering,Biochemical Engineering,3,Graduate,"Introduction to properties, production, and use of biological molecules of importance to medicine and industry, such as proteins, enzymes, and antibiotics. Topics may include fermentation and cell culture processes, biological mass transfer, enzyme engineering, and implications of recent advances in molecular biology, genomics, and proteomics. Prerequisite: Instructor permission."
CHE,6452,21066,CHE,Chemical Engineering,Data Science in Chemical Engineering,3,Graduate,"This course is a practical introduction to data science and machine learning with specific focus on chemical engineering applications. Lectures focus first on foundational programming skills, and the course continues with an overview of various techniques and algorithms used to solve real world chemical engineering problems. Substantial time is devoted to model selection and validation, and case studies in chemical engineering are explored. Prerequisites: Chemical Engineering graduate student"
CHE,6476,15586,CHE,Chemical Engineering,Process Design and Economics,4,Graduate,"Factors that determine the genesis and evolution of a process. Principles of marketing and technical economics and modern process design principles and techniques, including computer simulation with optimization. Prerequisite: Instructor permission."
CHE,6561,21229,CHE,Chemical Engineering,Special Topics in Chemical Engineering,3,Graduate,Special Topics in CHE
CHE,6618,15177,CHE,Chemical Engineering,Chemical Reaction Engineering,3,Graduate,"Fundamentals of chemical reaction kinetics and mechanisms; experimental methods of determining reaction rates; introduction to heterogeneous catalysis; application of chemical kinetics, along with mass-transfer theory, fluid mechanics, and thermodynamics, to the design and operation of chemical reactors. Prerequisite: CHE 6625 and 6665."
CHE,6630,15178,CHE,Chemical Engineering,Mass Transfer,3,Graduate,"Fundamental principles common to mass transfer phenomena, with emphasis on mass transfer in diverse chemical engineering situations. Detailed consideration of fluxes, diffusion with and without convection, interphase mass transfer with chemical reaction, and applications. Prerequisite: CHE 6625 and 6665."
CHE,7796,15179,CHE,Chemical Engineering,Graduate Seminar,1,Graduate,Weekly meetings of graduate students and faculty for presentations and discussion of research in academic and industrial organizations. May be repeated.
CHE,7995,16351,CHE,Chemical Engineering,Supervised Project Research,1 - 12,Graduate,Formal record of student commitment to project research for Master of Engineering degree under the guidance of a faculty advisor. May be repeated as necessary.
CHE,8897,15564,CHE,Chemical Engineering,Graduate Teaching Instruction,1 - 6,Graduate,For master's students.
CHE,8998,15180,CHE,Chemical Engineering,Master's Research,1 - 12,Graduate,Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. Registration may be repeated as necessary.
CHE,9897,15563,CHE,Chemical Engineering,Graduate Teaching Instruction,1 - 6,Graduate,For doctoral students.
CHE,9999,15432,CHE,Chemical Engineering,Dissertation Research,1 - 12,Graduate,Formal record of student commitment to doctoral research under the guidance of a faculty advisor. Registration may be repeated as necessary.
CHEM,1420,10053,CHEM,Chemistry,Introductory College Chemistry II,3,Undergraduate,"Introduces the principles and applications of chemistry. Topics include stoichiometry, chemical equations and reactions, chemical bonding, states of matter, thermochemistry, chemical kinetics, equilibrium, acids and bases, electrochemistry, nuclear chemistry, and descriptive chemistry of the elements. For students planning to elect further courses in chemistry, physics, and biology and to fulfill prehealth prerequisites.
Prerequisites: CHEM 1410, 1610, or a C- in CHEM 1810 is required. CHEM 1421 may be taken concurrently or after completing 1420. Drop or withdrawal from CHEM 1420, requires drop/withdrawal from CHEM 1421. C or higher required for CHEM 2410."
CHEM,1421,10660,CHEM,Chemistry,Introductory College Chemistry II Laboratory,1,Undergraduate,"Continuation of CHEM 1411, students plan and implement chemistry experiments in cooperative four-person teams using a guided inquiry approach. Mathematica is integrated into the course as a computational chemistry tool. Process skills include developing procedures, data analysis, communication of results, and lab report writing. Topics include thermodynamics, kinetics, acid/base equilibria. 3 1/2 hour lab meets weekly.
Prerequisite: Must have completed CHEM 1411 or CHEM 1611 or CHEM 1811 AND must have completed or currently enrolled in CHEM 1420"
CHEM,1500,11784,CHEM,Chemistry,Chemistry for Health Sciences,3,Undergraduate,"Emphasizes the practical aspects of general, organic, and biological chemistry with numerous applications to clinical and health-related cases and issue. Provides health professionals with the chemical background necessary to understand the diagnostic tests and procedures needed for healthcare delivery. Relationships between inorganic chemistry and the life processes that occur during normal and abnormal metabolism."
CHEM,1820,10055,CHEM,Chemistry,Principles of Organic Chemistry (Accelerated),3,Undergraduate,"Seeks to understand elementary reaction types as a function of chemical structure by emphasizing organic compounds. Topics include acid-base, nucleophilic substitution, oxidation-reduction, electrophilic addition, elimination, conformational analysis, stereochemistry, aromaticity, and molecular spectroscopy. 
Prerequisite: CHEM 1810 w/grade C or higher. CHEM 1821, 2411, or 2311 may be taken concurrently or after completing CHEM 1820. Drop or withdrawal from CHEM 1820, requires drop/withdrawal from CHEM 1821/2411/2311."
CHEM,1821,12019,CHEM,Chemistry,Principles of Organic Chemistry Laboratory (Accelerated),3,Undergraduate,"Introduction to organic laboratory techniques, organic synthesis, spectroscopic characterization of organic compounds, and qualitative organic analysis. One hour lab lecture and four hour laboratory meets weekly.
Prerequisite: CHEM 1811. CHEM 1820 must be taken concurrently or prior to CHEM 1821. Drop/withdrawal from CHEM 1820, requires drop/withdrawal from CHEM 1821."
CHEM,2321,11392,CHEM,Chemistry,Organic Chem Lab II for Non-Chemistry Majors/Minors,1,Undergraduate,"Focuses on the development of skills in methods of preparation, purification and identification of organic compounds. This course is designed for students who are pre-health students but NOT chemistry majors/minors.
Prerequisite: CHEM 2311 or 2411. CHEM 2420 or 2810 must be taken concurrently or prior to CHEM 2321. Drop/withdrawal from CHEM 2420 or 2810, requires drop/withdrawal from CHEM 2321."
CHEM,2420,10057,CHEM,Chemistry,Organic Chemistry II,3,Undergraduate,"Survey of the principle classes of organic and bioorganic compounds in relation to their structure, identification, synthesis, natural occurrence, reactivity, and mechanisms of reactions.
Prerequisite: CHEM 2410 or 1820. CHEM 2321 or 2421 may be taken concurrently or after completing CHEM 2420. Drop/withdrawal from CHEM 2420, requires drop/withdrawal from CHEM 2321/2421."
CHEM,2421,10059,CHEM,Chemistry,Organic Chemistry II Laboratory,3,Undergraduate,"Further development of skills acquired in CHEM 2411; synthesis (including multistep synthesis), isolation, purification and characterization of compounds such as anestethics, antiinflamatory and antibacterial compounds, as well as peptides, oligonucleotides, synthetic polymers. One hour lab lecture and four hour laboratory meets weekly.
Prerequisite: CHEM 2411. CHEM 2420 or 2810 must be taken concurrently or prior to CHEM 2421. Drop/withdrawal from CHEM 2420 or 2810, requires drop/withdrawal from 2421."
CHEM,2820,10060,CHEM,Chemistry,Principles of Chemical Thermodynamics and Kinetics (Accelerated),3,Undergraduate,"Focuses on the macroscopic properties of chemical systems. Topics include states of matter, physical equilibria, chemical equilibria, thermodynamic relationships, kinetic theory, and electrochemistry. Prerequisite: CHEM 2810"
CHEM,3121,18352,CHEM,Chemistry,Advanced Synthetic Techniques Laboratory,3,Undergraduate,"Focuses on the development of advanced skills & techniques in chemical synthesis. Intended to provide students with training in air-sensitive chemistry, including the use of inert-atmosphere glove boxes & standard Schlenk techniques. Students will become familiar with a variety of characterization methods. Designed for students who wish enhance their synthetic skills in preparation for laboratory-based jobs or graduate school."
CHEM,3420,10062,CHEM,Chemistry,Physical Chemistry - Thermodynamics,3,Undergraduate,"Introduces physical chemistry with numerous biological applications: properties of gases, liquids, and solids; thermodynamics; chemical and biochemical equilibrium; solutions; electrochemistry; and structure and stability of biological macromolecules. 
Prerequisite: CHEM 3410. CHEM 3821 (if required for degree program) may be taken concurrently or after CHEM 3420. Discussion is optional."
CHEM,3821,12227,CHEM,Chemistry,Physical Chemistry Laboratory II,3,Undergraduate,"Execution of laboratory experiments that illustrate important laws and demonstrate quantitative methods of measuring the chemical and physical properties of matter. One hour lab lecture and four hour laboratory meet weekly. 
Prerequisite: CHEM 3811. CHEM 3420 must be taken concurrently or prior to CHEM 3821. Drop/withdrawal from CHEM 3420, requires drop/withdrawal from CHEM 3821."
CHEM,3951,10064,CHEM,Chemistry,Undergraduate Research I,1 - 3,Undergraduate,Introduces the methods of research that include use of the research literature and instruction in basic experimental and theoretical procedures and techniques. Students can conduct their research within the Dept of Chemistry or in a related science with approval. Under the supervision of faculty but may work closely with a Post-Doc or graduate student.
CHEM,3961,10065,CHEM,Chemistry,Undergraduate Research II,3,Undergraduate,Student continues to build on their knowledge of the methods of research including the use of research literature and instruction in more advanced experimental and theoretical procedures and techniques. Students can conduct their research within the Dept of Chemistry or in a related science with approval. Under the supervision of faculty but may work closely with a Post-Doc or graduate student.
CHEM,4420,10066,CHEM,Chemistry,Biological Chemistry II,3,Undergraduate,"Covers three main areas: structure and function of biological membranes; complex biochemical systems and processes, including photosynthesis, oxidative phosphorylation, vision, neurotransmission, hormonal regulation, muscle contraction, and microtubules; and molecular biology, including DNA and RNA metabolism, protein synthesis, regulation of gene expression, and recombinant DNA methodology."
CHEM,4421,10068,CHEM,Chemistry,Biological Chemistry Laboratory II,3,Undergraduate,"This course builds on the techniques learned in CHEM 4411 to study the structure/function relationship of a protein. Experiments are designed to determine the function of a protein and/or the effect of a mutation on function. Experimental methods include protein expression and purification, spectrophotometric kinetic methods and statistical analysis of data, and molecular visualization.
Prerequisite: CHEM 4411 with a grade of C- or better."
CHEM,4431,13081,CHEM,Chemistry,Chemical Biology Laboratory,3,Undergraduate,"Introduces the theory & practice of common techniques at the interface of chemistry and biology. Students should gain a practical understanding of cloning, protein expression & purification, activity assays, & maintaining a laboratory notebook. We will approach these topics in the context of a larger, on-going research project."
CHEM,4440,13078,CHEM,Chemistry,Biochemistry for Pre-Health,3,Undergraduate,"Biochemistry study chemical processes within biological systems. When living systems are in chemical and energetic balance life thrives. However, distortion of balance caused by external or internal environment can lead to series of diseases and malfunctions of biological systems. In this course we will explore and learn how basic chemical and physical principles apply to macro-molecules that give rise to the complexity of life."
CHEM,4460,20586,CHEM,Chemistry,Enzyme Reaction Mechanisms in Human Health and Disease,3,Undergraduate,"Familiarization with catalytic strategies employed by enzymes and relationship of the strategies to those used in organic chemistry. Reactions discussed include phosphoryl transfer, acyl group activation and transfer, and coenzyme-based catalysis, etc. The understanding of enzyme mechanisms is enhanced by introduction of key insights from kinetics and regulation of enzyme reactions. Emphasis is placed on implications for human health and disease."
CHEM,4951,10071,CHEM,Chemistry,Undergraduate Research III,3,Undergraduate,Student continues to build on their knowledge of the methods of research including the use of research literature and instruction in more advanced experimental and theoretical procedures and techniques. Students can conduct their research within the Dept of Chemistry or in a related science with approval. Under the supervision of faculty but may work closely with a Post-Doc or graduate student.
CHEM,4961,10072,CHEM,Chemistry,Undergraduate Research IV,3,Undergraduate,Student continues to build on their knowledge of the methods of research including the use of research literature and instruction in more advanced experimental and theoretical procedures and techniques. Students can conduct their research within the Dept of Chemistry or in a related science with approval. Under the supervision of faculty but may work closely with a Post-Doc or graduate student.
CHEM,5120,11221,CHEM,Chemistry,Organic Chemistry IV: Synthesis,3,Graduate,A comprehensive survey of synthetic organic reactions and their application to the design and execution of syntheses of relatively complex organic substances.
CHEM,5224,12890,CHEM,Chemistry,Reaction Kinetics and Dynamics,3,Graduate,"Introduces the practice and theory of modern chemical kinetics, emphasizing reactions occurring in gases, liquids, and on catalytic surfaces. Develops basic principles of chemical kinetics and describes current experimental and analytic techniques. Discusses the microscopic reaction dynamics underlying the macroscopic kinetics in terms of reactive potential energy surfaces. Develops statistical theories of reactions that simplify the description of the overall reaction dynamics. Includes the transition state theory, Rice-Ramsperger-Kassel-Marcus (RRKM) theory for unimolecular reactions, Kramers' theory, Marcus electron transfer theory, and information theory. Presents current topics from the literature and illustrates applications of basic principles through problem-solving exercises. Prerequisite: Undergraduate physical chemistry or instructor permission."
CHEM,5230,19511,CHEM,Chemistry,Soft Matter Theory,3,Graduate,"Soft materials are indispensable in everyday life & modern technology, forming the basis of numerous products, such as detergents, paints, plastics, personal care products, foods, clays, plastics, and gels. We will use statistical mechanical methodology to develop a basic theoretical description of the most important classes of soft matter materials: polymers, colloids, liquid crystals, surfactants, gels, glasses, and biological active matter."
CHEM,5250,11531,CHEM,Chemistry,Molecular Spectroscopy,3,Graduate,"Includes basic theoretical principles of modern molecular spectroscopy, including microwave, infrared, Raman, visible, and ultraviolet spectroscopy. Gas-phase systems will be emphasized. 
Prerequisite: CHEM 5210 or Instructor Permission"
CHEM,5330,11941,CHEM,Chemistry,Structural Inorganic Chemistry: Characterization and Spectroscopy,3,Graduate,"Covers mathematical language which describes symmetry and focuses on its application to inorganic chemistry, determination of point groups, use of character tables, and construction of MO theory diagrams. This will be followed by application of these concepts to spectroscopic methods, e.g. Absorption, IR, Raman, NMR, magnetism, and EPR, etc. The material is intended to cover the theory and interpretation of standard spectroscopic techniques."
CHEM,5380,12257,CHEM,Chemistry,Determination of Molecular Structure by Diffraction Methods,3,Graduate,This one-semester undergraduate/graduate course will focus on the modern applications of X-ray diffraction techniques in crystal and molecular structure determination. The class will also include powder diffraction and its application in X-ray structure analysis.
CHEM,5420,12456,CHEM,Chemistry,Advanced Biological Chemistry II: Macromolecular Structure and Function,3,Graduate,"Covers three main areas: (1) the structure and function of biological membranes, (2) complex biochemical systems and processes, including photosynthesis, oxidative phosphorylation, vision, neurotransmission, hormonal regulation, muscle contraction and microtubules, and (3) molecular biology, including DNA metabolism, protein synthesis, regulation of gene expression and recombinant DNA methodology. Three class hours,. (Y) Prerequistes: CHEM 7430 or permission of instructor."
CHEM,5540,13083,CHEM,Chemistry,Special Topics in Biological Chemistry (Drug Discovery),3,Graduate,Selected topics in advanced biochemistry developed to the depth required for modern research
CHEM,5610,13084,CHEM,Chemistry,Evidence-Based Teaching Methods for the Postsecondary Science Classroom,3,Graduate,"Provide science graduate students interested in an academic career with training in teaching at the postsecondary level. Specifically, the course is intended to introduce instructional practices that have been empirically demonstrated to enhance students' learning & attitudes toward science & their associated learning theories. To provide students with opportunity to develop teaching philosophy & implement, & receive feedback on a unit & lecture."
CHEM,7020,10073,CHEM,Chemistry,"Research Seminar II: Research, Innovation, Entrepreneurship, and Ethics",3,Graduate,"Introduces students to a range of professional development tools & information that may be helpful over their careers. Safety in the laboratory, ethics in science & teaching, career planning, job opportunities/trajectories in academe, industry, & national laboratories, intellectual property, entrepreneurship, interactions with federal funding agencies, curriculum vitae/resume writing, & effective written & oral communication skills are covered."
CHEM,8999,12757,CHEM,Chemistry,Masters Research,1 - 12,Graduate,For students pursuing a masters degree and conducting research.
CHEM,9130,11505,CHEM,Chemistry,Research in Synthetic Organic Chemistry,1 - 12,Graduate,"Students will conduct research in synthetic organic chemistry using appropriate techniques, instruments, and equipment."
CHEM,9210,11397,CHEM,Chemistry,Research in High Resolution Molecular Spectroscopy,1 - 12,Graduate,Research in High Resolution Molecular Spectroscopy
CHEM,9220,11398,CHEM,Chemistry,Research in Computational Chemistry,1 - 12,Graduate,Research in Computational Chemistry
CHEM,9230,12458,CHEM,Chemistry,Research in Statistical Mechanics of Condensed Phases,1 - 12,Graduate,Research in Statistical Mechanics of Condensed Phases
CHEM,9240,11790,CHEM,Chemistry,Research in Molecular Spectroscopy and Dynamics,1 - 12,Graduate,Research in Molecular Spectroscopy and Dynamics
CHEM,9250,11791,CHEM,Chemistry,Research in Theoretical Astrochemistry,1 - 12,Graduate,Research in Theoretical Astrochemistry
CHEM,9260,11792,CHEM,Chemistry,Research in Chemistry in Interstellar and Star-Forming Regions,1 - 12,Graduate,Research in Chemistry in Interstellar and Star-Forming Regions
CHEM,9270,11793,CHEM,Chemistry,Research in Physical Chemistry of Surfaces,1 - 12,Graduate,Research in Physical Chemistry of Surfaces
CHEM,9280,12347,CHEM,Chemistry,Research in Astrochemistry During Planet Formation,1 - 12,Graduate,Students will conduct research in astrochemistry during planet formation using appropriate techniques and instrumentation.
CHEM,9310,11399,CHEM,Chemistry,Research in Inorganic and Organometallic Reactions,1 - 12,Graduate,Research in Inorganic and Organometallic Reactions
CHEM,9320,11794,CHEM,Chemistry,Research in Synthetic and Mechanistic Organometallic Chemistry,1 - 12,Graduate,Research in Synthetic and Mechanistic Organometallic Chemistry
CHEM,9330,11400,CHEM,Chemistry,Research in Redox-Driven Inorganic Mechanisms,1 - 12,Graduate,Research in Redox-Driven Inorganic Mechanisms.
CHEM,9340,11775,CHEM,Chemistry,Research in Synthesis and Functionalization of Nanostructured Materials,1 - 12,Graduate,Research in Synthesis and Functionalization of Nanostructured Materials.
CHEM,9350,11776,CHEM,Chemistry,Research in Materials Chemistry,1 - 12,Graduate,Research in Materials Chemistry
CHEM,9360,11795,CHEM,Chemistry,Research in Medicinal Chemistry,1 - 12,Graduate,Research in Medicinal Chemistry
CHEM,9370,11396,CHEM,Chemistry,Research in Main-Group and Organometallic Synthesis,1 - 12,Graduate,Students will conduct research in main-group and organometallic synthesis using appropriate techniques and instrumentation.
CHEM,9380,19510,CHEM,Chemistry,Design of Catalytic Sites & Beyond for Sustainable Fuel & Chem Production,1 - 12,Graduate,Students will conduct research in design of catalytic sites and beyond for sustainable fuel and chemical production using appropriate techniques and instrumentation.
CHEM,9410,11401,CHEM,Chemistry,Research in Membrane Biochemistry,1 - 12,Graduate,Research in Membrane Biochemistry
CHEM,9420,10074,CHEM,Chemistry,Research in Chemical and Structural Biology,1 - 12,Graduate,Research in Chemical and Structural Biology
CHEM,9430,11402,CHEM,Chemistry,Research in Chemical Biology,1 - 12,Graduate,Research in Chemical Biology
CHEM,9440,12459,CHEM,Chemistry,Research in Chemical Biology and Cell Signaling,1 - 12,Graduate,Students will conduct research in chemical biology and cell signaling using appropriate methods and instrumentation.
CHEM,9450,11796,CHEM,Chemistry,Research in Spectroscopy and Biophysics of Membrane Proteins,1 - 12,Graduate,Research in Spectroscopy and Biophysics of Membrane Proteins
CHEM,9460,12460,CHEM,Chemistry,Research in Chemical Microbiology & Immunotherapy,1 - 12,Graduate,Students will conduct research in chemical microbiology and immunotherapy using appropriate methods and instrumentation.
CHEM,9470,11942,CHEM,Chemistry,Research in Molecular Imaging and Interrogation of Biological Systems,1 - 12,Graduate,Students will conduct research in molecular imaging and interrogation of biological systems using appropriate techniques and instrumentation.
CHEM,9710,21721,CHEM,Chemistry,Research in Mass Spectrometry,1 - 12,Graduate,Research in Mass Spectrometry
CHEM,9720,11404,CHEM,Chemistry,Research in Microfluidic and Chemical Analysis of Biological Systems,1 - 12,Graduate,Research: Microfluidic and Chemical Analysis of Biological Systems
CHEM,9730,11798,CHEM,Chemistry,Research in Bioanalytical Studies,1 - 12,Graduate,Research in Bioanalytical Studies
CHEM,9740,11405,CHEM,Chemistry,Research in Single-Molecule Imaging,1 - 12,Graduate,Research in Single-Molecule Imaging
CHEM,9750,11403,CHEM,Chemistry,Research in Analytical Chemistry of Biological Systems,1 - 12,Graduate,Research in Analytical Chemistry of Biological Systems
CHEM,9760,12461,CHEM,Chemistry,Research in Bioanalytical Microsystems,1 - 12,Graduate,Students will conduct research in bioanalytical microsystems using appropriate instrumentation and techniques.
CHEM,9810,12908,CHEM,Chemistry,Research in Chemical Education,1 - 12,Graduate,Students will conduct research in chemical education using appropriate methods and instrumentation.
CHEM,9999,12758,CHEM,Chemistry,Doctoral Research,1 - 12,Graduate,"For doctoral research, taken before a dissertation advisor has been selected."
EALC,1010,11974,CHIN,Chinese,Elementary Chinese,4,Undergraduate,"Introduction to the fundamentals of modern Chinese. No prerequisites. This course is not intended for native or near-native speakers of Chinese. All four basic skills (listening, speaking, reading, and writing) are equally stressed. Prerequisite: none."
EALC,1020,10075,CHIN,Chinese,Elementary Chinese,4,Undergraduate,"The second in a two-semester introduction to modern Chinese. All four basic skills (listening, speaking, reading, and writing) are equally stressed. Course is not intended for native or near-native speakers of Chinese. Prerequisite: CHIN 1010 or equivalent background (as demonstrated in the department's placement test)."
EALC,2010,12138,CHIN,Chinese,Intermediate Chinese,4,Undergraduate,"Builds on the foundations acquired in CHIN 1010-1020 with further refinement of all four basic skills (listening, speaking, reading, and writing. Course is not intended for native or near-native speakers of Chinese. Prerequisite: CHIN 1020 or equivalent background (as demonstrated in the department's placement test)."
EALC,2020,12797,CHIN,Chinese,Intermediate Chinese,4,Undergraduate,"Prerequisite: CHIN 2010, 2020 are the continuation of CHIN 1020. They are not intended for native or near-native speakers of Chinese. The goals of this course are to help students improve their spoken and aural proficiency, achieve a solid reading level, and learn to express themselves clearly in writing on a variety of covered topics using learned grammar patterns and vocabulary. These goals are approached through grammar and reading-writing exercises, classroom drills, listening and speaking activities, and written quizzes and exams."
EALC,2060,10079,CHIN,Chinese,Accelerated Intermediate Chinese,4,Undergraduate,"This course is specifically designed for students with native or near-native speaking ability in Mandarin Chinese, but with reading and writing ability equivalent to a student who has completed CHIN 1020. The course focuses on reading and writing Chinese. The goals of this course are to help students: (a) achieve a basic level of reading competency with a vocabulary of 1000 characters; (b) express themselves clearly in written Chinese on a variety of topics using learned grammar patterns and vocabulary. Prerequisite: CHIN 1060 or equivalent (as demonstrated in the placement test)."
EALC,3010,12439,CHIN,Chinese,Pre-Advanced Chinese I,3,Undergraduate,"This course is the continuation of Intermediate Chinese (CHIN 2020). All four basic skills (listening, speaking, reading, and writing) are equally stressed. Readings and discussions are related to various aspects of modern China. The class is conducted mainly in Mandarin Chinese. Prerequisite: CHIN 2020 or 2060 or equivalent (as demonstrated in the placement test)."
EALC,3020,12020,CHIN,Chinese,Pre-Advanced Chinese II,3,Undergraduate,"This course is a continuation of CHIN 3010. Readings and discussion are related to various aspects of modern China. The class is conducted mainly in Mandarin Chinese. All four basic skills (listening, speaking, reading, and writing) are equally stressed. Prerequisite: CHIN 3010, CHIN 3050, Placement Test Results or Instructor Permission"
EALC,3025,10080,CHIN,Chinese,Language House Conversation,1,Undergraduate,For students residing in the Chinese group in Shea House. Prerequisite: instructor permission.
EALC,3050,21262,CHIN,Chinese,One Book at a Time: Reading China from Cover to Cover,3,Undergraduate,Students of second or above levels can select a book from a list of great Chinese literary works curated by the instructor to read. Some graded readers will be included for 2000-level students. This course provides students with the opportunity and support to read a book in Chinese language from cover to cover while discussing related social and cultural topics. Heritage students have the opportunity to pick a book of their choice. Prerequisite: CHIN 1020 or CHIN 1060.
EALC,4020,12045,CHIN,Chinese,Advanced Chinese II,3,Undergraduate,"This course is a continuation of CHIN4010. Readings and discussion are related to various aspects of modern China. The class is conducted in Mandarin Chinese. All four skills (listening, speaking, reading, and writing) are equally stressed. Students constantly work with authentic materials and engage in communications with native speakers in various formats and contexts. Prerequisite: CHIN 4010, Placement Test Results or Instructor Permission."
EALC,4559,20931,CHIN,Chinese,New Course in Chinese,3,Undergraduate,New course in the subject of Chinese.
EALC,4840,13146,CHIN,Chinese,Introduction to Classical Chinese Poetry,3,Undergraduate,"Introduces the grammar and structure of classical Chinese poetry.
Requisite: Consent of Instructor"
EALC,3020,12140,CHTR,Chinese in Translation,Survey of Modern Chinese Literature,3,Undergraduate,The Revolutionary Tradition in Modern Chinese Literature and Film is a general introduction to modern Chinese literary culture.
EALC,3710,19022,CHTR,Chinese in Translation,Weird and Fantastic Stories in China,3,Undergraduate,"Weird and the fantastic experiences pervade much of the Chinese cultural tradition, with numerous stories of ghosts avenging their deaths, divine maidens rewarding pious behavior, romances between human men and female ghosts, and tricky foxes and deadly snakes. This course will provide an introduction to this fascinating tradition."
EALC,4010,13147,CHTR,Chinese in Translation,Legendary Women in Early China,3,Undergraduate,"Examines the biographies of female heroines and villains as found in the early Chinese text Tradition of Exemplary Women (ca. 18 B.C.). Students gain a familiarity with (a) the history of women in early China, (b) the evolving codes of behavior that shaped women's' culture for two millennia, and (c) the way in which the Chinese understand gender. Enhances an understanding of the function of role models in both ancient China and their own lives. Fulfills the non-Western perspectives requirement."
EALC,4991,11679,CHTR,Chinese in Translation,Chinese Capstone,1,Undergraduate,"Restricted to Chinese majors, this course is designed as a capstone seminar that will require a class presentation and an extended final paper that demonstrate the significant knowledge of Chinese language."
EALC,5020,12143,CHTR,Chinese in Translation,Survey of Modern Chinese Literature,3,Graduate,A general introduction to modern Chinese literary culture. Examines the major genres through selected readings of representative authors. Taught in English. Fulfills the non-Western perspectives requirement.
EALC,5559,21062,CHTR,Chinese in Translation,New Course in Chinese in Translation,3,Graduate,New course in the subject of Chinese literature in translation
EALC,5710,19023,CHTR,Chinese in Translation,Weird Fantastic Stories China,3,Graduate,"Weird and the fantastic experiences pervade much of the Chinese cultural tradition, with numerous stories of ghosts avenging their deaths, divine maidens rewarding pious behavior, romances between human men and female ghosts, and tricky foxes and deadly snakes. This course will provide an introduction to this fascinating tradition."
CLAS,2020,11121,CLAS,Classics,Roman Civilization,3,Undergraduate,"Studies Roman history, literature, and art. For more details on this class, please visit the department website at http://www.virginia.edu/classics/."
CLAS,2040,10082,CLAS,Classics,Greek Mythology,3,Undergraduate,"Introduces major themes of Greek mythological thought; surveys myths about the olympic pantheon and the legends of the heroes. For more details on this class, please visit the department website at http://www.virginia.edu/classics/."
CLAS,2559,19411,CLAS,Classics,New Course in Classics,3,Undergraduate,"New course in the subject of classics. For more details on this class, please visit the department website at http://www.virginia.edu/classics/."
CLAS,3120,21074,CLAS,Classics,Age of Alexander,3,Undergraduate,"Studies the times, person, accomplishments of Alexander the Great (356-323 b.c.), the literature, art, and architecture of the period, and the influence of Alexander on the development of Greek and Western culture. Readings from Plutarch, Arrian, Demosthenes, and poets and philosophers of the early Hellenistic period. For more details on this class, please visit the department website at http://www.virginia.edu/classics/."
CLAS,9995,12039,CLAS,Classics,Dissertation Seminar,3,Graduate,A team-taught seminar that works by stages towards a complete first draft of the dissertation prospectus. Students will take the seminar during their sixth semester of study; instructors will be the dissertation directors of those students. Each student will register under the name of the director.
COGS,3960,12824,COGS,Cognitive Science,Cognitive Science Research,2 - 3,Undergraduate,This course aims to provide faculty-supervised research experience. A faculty mentor should be identified before enrollment. S/U grading. May be repeated for credit. Prerequisites: Faculty supervisor permission.
